name,year,Domestic Gross,Overseas Gross,Worldwide Gross
I Shot Andy Warhol,1996,"1,814,290",0,"1,814,290"
Imago mortis,2009,0,"1,811,984","1,811,984"
Rang-e khoda,1999,"1,810,145",0,"1,810,145"
NSync: Bigger Than Live,2001,"1,808,679",0,"1,808,679"
The Wretched,2019,"1,808,195",0,"1,808,195"
The Other Side of Heaven 2: Fire of Faith,2019,"1,807,116",0,"1,807,116"
Minä ja Morrison,2001,0,"1,806,083","1,806,083"
I cento passi,2000,0,"1,805,884","1,805,884"
Gojira tai Megaro,1973,0,"1,803,446","1,803,446"
The Wall,2017/II,"1,803,009",0,"1,803,009"
The Wall,2017,"1,803,009",0,"1,803,009"
M.S. Dhoni: The Untold Story,2016,"1,801,550",0,"1,801,550"
The Mountain,1956,"1,800,000",0,"1,800,000"
Man with the Gun,1955,"1,800,000",0,"1,800,000"
Two-Faced Woman,1941,"875,000","925,000","1,800,000"
Hysteria,2011,"1,800,000",0,"1,800,000"
"Sleep, My Love",1948,"1,800,000",0,"1,800,000"
Jubal,1956,"1,800,000",0,"1,800,000"
Six Bridges to Cross,1955,"1,800,000",0,"1,800,000"
Yaroslav. Tysyachu let nazad,2010,0,"1,800,000","1,800,000"
L'eroe di Babilonia,1963,"1,800,000",0,"1,800,000"
Helmiä ja sikoja,2003,0,"1,799,636","1,799,636"
Free Fire,2016,"1,799,322",0,"1,799,322"
Boxing Helena,1993,"1,796,389",0,"1,796,389"
Hurlyburly,1998,"1,796,328",0,"1,796,328"
Stone,2010,"1,796,024",0,"1,796,024"
La vie après l'amour,2000,"1,795,758",0,"1,795,758"
Delicatessen,1991,"1,794,187",0,"1,794,187"
Tune in Tomorrow...,1990,"1,794,001",0,"1,794,001"
Stormy Monday,1988,"1,791,328",0,"1,791,328"
King of the Mountain,1981,"1,791,147",0,"1,791,147"
Clay Pigeons,1998,"1,789,892",0,"1,789,892"
Tumbleweeds,1999,"1,281,176","506,992","1,788,168"
Kal Ho Naa Ho,2003,"1,787,378",0,"1,787,378"
Goodbye Christopher Robin,2017,"1,727,932","57,917","1,785,849"
Kandidaten,2008,0,"1,785,030","1,785,030"
Pervyy posle Boga,2005,0,"1,785,000","1,785,000"
Son of Rambow,2007,"1,784,769",0,"1,784,769"
Reservation Road,2007,"121,994","1,661,006","1,783,000"
Show Me the Father,2021,"1,782,909",0,"1,782,909"
The Last Word,2017,"1,782,667",0,"1,782,667"
American Honey,2016,"662,786","1,119,231","1,782,017"
The Nutcracker Prince,1990,"1,781,694",0,"1,781,694"
The Mangler,1995,"1,781,383",0,"1,781,383"
The Dangerous Lives of Altar Boys,2002,"1,779,284",0,"1,779,284"
Working Girls,1986,"1,777,378",0,"1,777,378"
I Like It Like That,1994,"1,777,020",0,"1,777,020"
Trop belle pour toi,1989,"1,776,440",0,"1,776,440"
Redirected,2014,0,"1,776,000","1,776,000"
Lemale et ha'halal,2012,"1,774,639",0,"1,774,639"
Liste noire,1995,"1,770,789",0,"1,770,789"
Bloodfist,1989,"1,770,082",0,"1,770,082"
Naked,1993,"1,769,305",0,"1,769,305"
Carman: The Champion,2001,"1,765,751",0,"1,765,751"
A Soldier's Daughter Never Cries,1998,"1,759,596",0,"1,759,596"
Holy Smoke,1999,"1,758,780",0,"1,758,780"
Valentino: The Last Emperor,2008,"1,755,134",0,"1,755,134"
Carnosaur,1993,"1,753,979",0,"1,753,979"
Heinähattu ja Vilttitossu,2002,0,"1,752,417","1,752,417"
Flipped,2010/I,"1,752,214",0,"1,752,214"
Prospero's Books,1991,"1,750,301",0,"1,750,301"
Kid Galahad,1962,"1,750,000",0,"1,750,000"
Death Ship,1980,"1,750,000",0,"1,750,000"
Ruby Gentry,1952,"1,750,000",0,"1,750,000"
Hunk,1987,"1,749,956",0,"1,749,956"
Vanya on 42nd Street,1994,"1,746,050",0,"1,746,050"
Stanno tutti bene,1990,"1,745,470",0,"1,745,470"
The Broken Hearts Club: A Romantic Comedy,2000,"1,744,858",0,"1,744,858"
Profile,2018,"1,744,740",0,"1,744,740"
Personal Services,1987,"1,744,164",0,"1,744,164"
The Debut,2000,"1,743,570",0,"1,743,570"
Mary and Max,2009,0,"1,739,445","1,739,445"
The Horror Show,1989,"1,738,897",0,"1,738,897"
Busco novio para mi mujer,2016,"1,738,885",0,"1,738,885"
We Need to Talk About Kevin,2011,"1,738,692",0,"1,738,692"
Comme une image,2004,"1,736,499",0,"1,736,499"
Barbarosa,1982,"1,736,123",0,"1,736,123"
Little Nikita,1988,"1,733,070",0,"1,733,070"
The Big Town,1987,"1,733,017",0,"1,733,017"
Che: Part One,2008,"1,731,665",0,"1,731,665"
The King's Daughter,2022,"1,730,937",0,"1,730,937"
A Hidden Life,2019,"1,730,597",0,"1,730,597"
The Rosary Murders,1987,"1,730,337",0,"1,730,337"
Last Exit to Brooklyn,1989,"1,730,005",0,"1,730,005"
Cutter's Way,1981,"1,729,274",0,"1,729,274"
Coco Chanel & Igor Stravinsky,2009,"1,724,882",0,"1,724,882"
Every Little Step,2008,"1,724,351",0,"1,724,351"
Koyaanisqatsi,1982,"1,723,872",0,"1,723,872"
Stryker,1983,"1,723,487",0,"1,723,487"
The Waterdance,1992,"1,723,319",0,"1,723,319"
Más de mil cámaras velan por tu seguridad,2003,0,"1,722,900","1,722,900"
Main Hoon Na,2004,"1,722,450",0,"1,722,450"
La passion d'Augustine,2015,"1,721,676",0,"1,721,676"
Link,1986,"1,720,450",0,"1,720,450"
Nevesta,2017,0,"1,720,424","1,720,424"
Blue,1993,"1,718,328",0,"1,718,328"
Zavet,2007,0,"1,717,410","1,717,410"
The Attack,2012,"1,714,710",0,"1,714,710"
Deadly Force,1983,"1,713,861",0,"1,713,861"
Un beau soleil intérieur,2017,"866,565","846,872","1,713,437"
El mal ajeno,2010,0,"1,712,021","1,712,021"
Casablanca,1942,"1,711,189",0,"1,711,189"
Steel,1997,"1,710,972",0,"1,710,972"
La gloire de mon père,1990,"1,710,856",0,"1,710,856"
Washington Square,1997,"1,710,693",0,"1,710,693"
Tacones lejanos,1991,"1,710,057",0,"1,710,057"
Even Cowgirls Get the Blues,1993,"1,710,000",0,"1,710,000"
Sweet Land,2005,"1,706,325",0,"1,706,325"
Everything Is Illuminated,2005,"1,705,595",0,"1,705,595"
The Life and Times of Hank Greenberg,1998,"1,703,901",0,"1,703,901"
A Home of Our Own,1993,"1,703,282",0,"1,703,282"
Death Wish V: The Face of Death,1994,"1,702,394",0,"1,702,394"
Escanaba in da Moonlight,2001,"1,701,721",0,"1,701,721"
When Time Ran Out...,1980,"1,700,000",0,"1,700,000"
House of Bamboo,1955,"1,700,000",0,"1,700,000"
Best of the Best,1989,"1,700,000",0,"1,700,000"
The Great Locomotive Chase,1956,"1,700,000",0,"1,700,000"
The Bad Lieutenant: Port of Call - New Orleans,2009,"1,697,956",0,"1,697,956"
Song for Marion,2012,"1,697,294",0,"1,697,294"
The Rain Killer,1990,"1,696,066",0,"1,696,066"
Suicide Kings,1997,"1,692,872",0,"1,692,872"
Meet the Patels,2014,"1,691,439",0,"1,691,439"
Quinceañera,2006,"1,689,999",0,"1,689,999"
Body Rock,1984,"1,689,501",0,"1,689,501"
El vacilón: The Movie,2005,"1,688,757",0,"1,688,757"
Tango,1998,"1,687,311",0,"1,687,311"
Slamma Jamma,2017,"1,687,000",0,"1,687,000"
Matewan,1987,"1,680,358",0,"1,680,358"
Who Killed the Electric Car?,2006,"1,677,838",0,"1,677,838"
State Property 2,2005,"1,677,733",0,"1,677,733"
Love,1927,"946,000","731,000","1,677,000"
The Breed,2006,"14,500","1,660,984","1,675,484"
"The Book of Mormon Movie, Volume 1: The Journey",2003,"1,672,730",0,"1,672,730"
Padmaavat,2018,"1,672,000",0,"1,672,000"
English Vinglish,2012,"1,670,773",0,"1,670,773"
Vermist,2007,0,"1,668,782","1,668,782"
Talento de barrio,2008,"1,666,769",0,"1,666,769"
Un coeur en hiver,1992,"1,666,511",0,"1,666,511"
The White Countess,2005,"1,666,262",0,"1,666,262"
Padman,2018,"1,662,927",0,"1,662,927"
Tim's Vermeer,2013,"1,662,566",0,"1,662,566"
Out on a Limb,1992,"1,659,542",0,"1,659,542"
Waves,2019,"1,658,790",0,"1,658,790"
The Comedian,2016,"1,658,706",0,"1,658,706"
The Painted Veil,1934,"538,000","1,120,000","1,658,000"
Prick Up Your Ears,1987,"1,654,743",0,"1,654,743"
Chacun cherche son chat,1996,"1,652,472",0,"1,652,472"
Desert Legion,1953,"1,650,000",0,"1,650,000"
Slattery's Hurricane,1949,"1,650,000",0,"1,650,000"
Shotgun,1955,"1,650,000",0,"1,650,000"
Just Follow Law: Wo zai zheng fu bu men de ri zi,2007,0,"1,650,000","1,650,000"
Bandido!,1956,"1,650,000",0,"1,650,000"
Festen,1998,"1,647,780",0,"1,647,780"
The Little Hours,2017,"1,647,175",0,"1,647,175"
Terra,2007,"1,647,083",0,"1,647,083"
Marci X,2003,"1,646,664",0,"1,646,664"
The Letters,2014/II,"1,646,574",0,"1,646,574"
I Saw the Light,2015,"1,646,468",0,"1,646,468"
Get Crazy,1983,"1,645,711",0,"1,645,711"
Rölli ja metsänhenki,2001,0,"1,645,512","1,645,512"
Daughters of the Dust,1991,"1,642,436",0,"1,642,436"
How I Got Into College,1989,"1,642,239",0,"1,642,239"
Pirates,1986,"1,641,825",0,"1,641,825"
L'heure d'été,2008,"1,641,025",0,"1,641,025"
A Private War,2018,"1,633,209",0,"1,633,209"
"C't'à ton tour, Laura Cadieux",1998,"1,633,000",0,"1,633,000"
Jolly LLB 2,2017,"1,632,440",0,"1,632,440"
Gun Shy,2000,"1,631,839",0,"1,631,839"
Camp,2003,"1,628,154",0,"1,628,154"
Brain Dead,1990,"1,627,955",0,"1,627,955"
Inkaar,2013,0,"1,627,411","1,627,411"
Bhaag Milkha Bhaag,2013,"1,626,289",0,"1,626,289"
Kaijûtô no kessen: Gojira no musuko,1967,0,"1,625,778","1,625,778"
No More Ladies,1935,"1,117,000","506,000","1,623,000"
Silence of the North,1981,"1,622,898",0,"1,622,898"
Keeping Mum,2005,"1,618,957",0,"1,618,957"
Potiche,2010,"1,618,844",0,"1,618,844"
The Aftermath,2019,"1,618,497",0,"1,618,497"
Windkracht 10: Koksijde Rescue,2006,0,"1,617,955","1,617,955"
Cuando Sea Joven,2022,"487,429","1,139,968","1,627,397"
Io non ho paura,2003,"1,615,118",0,"1,615,118"
Weiner,2016,"1,612,203",0,"1,612,203"
Wide Sargasso Sea,1993,"1,610,792",0,"1,610,792"
Magyar vándor,2004,0,"1,608,000","1,608,000"
Safe Passage,1994,"1,607,319",0,"1,607,319"
It Might Get Loud,2008,"1,607,276",0,"1,607,276"
Cabin in the Sky,1943,"1,606,624",0,"1,606,624"
Equity,2016,"1,604,101",0,"1,604,101"
Kites,2010/I,"1,602,466",0,"1,602,466"
Cairo Time,2009,"1,602,045",0,"1,602,045"
Jésus de Montréal,1989,"1,601,612",0,"1,601,612"
Standing in the Shadows of Motown,2002,"1,600,547",0,"1,600,547"
Infinite Storm,2022,"1,600,542",0,"1,600,542"
Bumer,2003,0,"1,600,000","1,600,000"
Double Trouble,1967,"1,600,000",0,"1,600,000"
Avenged,1998,"1,600,000",0,"1,600,000"
Destry Rides Again,1939,"1,600,000",0,"1,600,000"
Dumbo,1941,"1,600,000",0,"1,600,000"
Backlash,1956,"1,600,000",0,"1,600,000"
The Far Horizons,1955,"1,600,000",0,"1,600,000"
Jonathan Livingston Seagull,1973,"1,600,000",0,"1,600,000"
La Florida,1993,"1,600,000",0,"1,600,000"
The Stranger Wore a Gun,1953,"1,600,000",0,"1,600,000"
South of St. Louis,1949,"1,600,000",0,"1,600,000"
Against All Flags,1952,"1,600,000",0,"1,600,000"
Stories We Tell,2012,"1,599,038",0,"1,599,038"
Chasers,1994,"1,596,700",0,"1,596,700"
A Ghost Story,2017,"1,596,371",0,"1,596,371"
The Hottie & the Nottie,2008,"27,696","1,568,536","1,596,232"
The House That Jack Built,2018,"259,017","1,333,484","1,592,501"
Rhyme & Reason,1997,"1,591,687",0,"1,591,687"
Conspirator,1949,"859,000","732,000","1,591,000"
Too Late the Hero,1970,"615,000","975,000","1,590,000"
Feet First,1930,"1,589,000",0,"1,589,000"
The Thief of Bagdad,1924,"1,587,275",0,"1,587,275"
"New York, I Love You",2008,"1,585,859",0,"1,585,859"
Citizen Kane,1941,"1,585,634",0,"1,585,634"
Making Mr. Right,1987,"1,584,970",0,"1,584,970"
Bruc. La llegenda,2010,0,"1,584,719","1,584,719"
On Chesil Beach,2017,"745,972","837,143","1,583,115"
Condorito: La Película,2017,"447,719","1,135,168","1,582,887"
Western Stars,2019,"1,581,681",0,"1,581,681"
Beowulf,1999,0,"1,581,473","1,581,473"
Solarbabies,1986,"1,579,260",0,"1,579,260"
Race 2,2013,"1,578,996",0,"1,578,996"
Vincent,1987,"1,577,480",0,"1,577,480"
Milou en mai,1990,"1,576,702",0,"1,576,702"
The Garbage Pail Kids Movie,1987,"1,576,615",0,"1,576,615"
Slow Dancing in the Big City,1978,"1,576,500",0,"1,576,500"
Parnell,1937,"1,576,000",0,"1,576,000"
Moonfleet,1955,"567,000","1,007,000","1,574,000"
Microcosmos: Le peuple de l'herbe,1996,"1,573,842",0,"1,573,842"
Your Sister's Sister,2011,"1,573,712",0,"1,573,712"
I Am,2010/III,"1,571,355",0,"1,571,355"
Pelle Svanslös och den stora skattjakten,2000,0,"1,570,126","1,570,126"
"Louis 19, le roi des ondes",1994,"1,569,021",0,"1,569,021"
Hamlet,2000,"1,568,749",0,"1,568,749"
Thirty Two Short Films About Glenn Gould,1993,"1,567,543",0,"1,567,543"
The Woodsman,2004,"1,566,812",0,"1,566,812"
The Rental,2020,"1,566,325",0,"1,566,325"
Another Woman,1988,"1,562,749",0,"1,562,749"
La prima linea,2009,0,"1,561,914","1,561,914"
A Late Quartet,2012,"1,561,577",0,"1,561,577"
A Handful of Dust,1988,"1,560,700",0,"1,560,700"
Magic Journey to Africa,2010,0,"1,557,590","1,557,590"
Truly Madly Deeply,1990,"1,554,742",0,"1,554,742"
Ararat,2002,"1,554,566",0,"1,554,566"
Qualquer Gato Vira-Lata,2011,0,"1,554,075","1,554,075"
Night of the Living Dead 3D,2006,"271,000","1,282,837","1,553,837"
"Bless Me, Ultima",2013,"1,553,826",0,"1,553,826"
Hatuna Meuheret,2001,"1,551,470",0,"1,551,470"
The Lone Ranger,1956,"1,550,000",0,"1,550,000"
The Fighting Kentuckian,1949,"1,550,000",0,"1,550,000"
The King's Thief,1955,"478,000","1,071,000","1,549,000"
A Home at the End of the World,2004,"1,029,872","519,083","1,548,955"
Cecil B. DeMented,2000,"1,284,646","263,862","1,548,508"
Beautiful Thing,1996,"1,548,120",0,"1,548,120"
The Haunting of Morella,1990,"1,547,867",0,"1,547,867"
Two Moon Junction,1988,"1,547,397",0,"1,547,397"
Withnail & I,1987,"1,544,889",0,"1,544,889"
One False Move,1992,"1,543,112",0,"1,543,112"
Okuribito,2008,"1,542,989",0,"1,542,989"
Mystery Train,1989,"1,541,518",0,"1,541,518"
Detektor,2000,0,"1,541,163","1,541,163"
Atomik Circus - Le retour de James Bataille,2004,0,"1,540,614","1,540,614"
Year of the Dog,2007/I,"1,540,141",0,"1,540,141"
Three for the Road,1987,"1,539,000",0,"1,539,000"
Fed Up,2014,"1,538,899",0,"1,538,899"
Bully,2001,"1,537,670",0,"1,537,670"
Last Embrace,1979,"1,537,125",0,"1,537,125"
Neerja,2016,"1,535,234",0,"1,535,234"
The Gingerbread Man,1998,"1,534,569",0,"1,534,569"
Pro lyubov. Tolko dlya vzroslykh,2017,0,"1,533,889","1,533,889"
Destroyer,2018,"1,533,324",0,"1,533,324"
Ring,1999,0,"1,533,116","1,533,116"
Delhi Belly,2011,"1,531,757",0,"1,531,757"
Riot in Cell Block 11,1954,"1,531,755",0,"1,531,755"
The Last of the Finest,1990,"1,531,489",0,"1,531,489"
Lianna,1983,"1,530,839",0,"1,530,839"
Trust the Man,2005,"1,530,535",0,"1,530,535"
Man in the Shadow,1957/I,"1,530,000",0,"1,530,000"
Zemletryasenie,2016,0,"1,529,299","1,529,299"
Josh and S.A.M.,1993,"1,528,163",0,"1,528,163"
Taeksi Woonjunsa,2017,"1,527,829",0,"1,527,829"
A Midnight Clear,1992,"1,526,697",0,"1,526,697"
Misunderstood,1984,"1,525,532",0,"1,525,532"
Girlfight,2000,"1,523,941",0,"1,523,941"
Murderball,2005,"1,523,883",0,"1,523,883"
I Kina spiser de hunde,1999,0,"1,520,625","1,520,625"
Stepfather II,1989,"1,519,796",0,"1,519,796"
Being Human,1994,"1,519,366",0,"1,519,366"
Life Is Sweet,1990,"1,516,414",0,"1,516,414"
"I, the Jury",1982,"1,515,578",0,"1,515,578"
Leaving Normal,1992,"1,514,114",0,"1,514,114"
Call Me by Your Name,2017,"1,513,478",0,"1,513,478"
La cité des enfants perdus,1995,"1,513,028",0,"1,513,028"
So Undercover,2012,0,"1,512,405","1,512,405"
Chikyû Bôeigun,1957,"975,000","536,111","1,511,111"
La doppia ora,2009,"1,510,893",0,"1,510,893"
Streets,1990,"1,510,053",0,"1,510,053"
Bill Cunningham New York,2010,"1,510,026",0,"1,510,026"
Oscar and Lucinda,1997,"1,508,689",0,"1,508,689"
The Kid,2019,"1,508,593",0,"1,508,593"
The Celluloid Closet,1995,"1,507,800",0,"1,507,800"
Susan Lenox ,1931,"806,000","700,000","1,506,000"
Housefull 2,2012,"1,503,059",0,"1,503,059"
Company Business,1991,"1,501,785",0,"1,501,785"
The Three Musketeers,1921,"1,500,000",0,"1,500,000"
How to Make Money Selling Drugs,2012,"1,500,000",0,"1,500,000"
Trash,1970,"1,500,000",0,"1,500,000"
Charro!,1969,"1,500,000",0,"1,500,000"
Watermelon Man,1970,"1,500,000",0,"1,500,000"
Harum Scarum,1965,"1,500,000",0,"1,500,000"
Run for Cover,1955,"1,500,000",0,"1,500,000"
Fun in Acapulco,1963,"1,500,000",0,"1,500,000"
Tales of Terror,1962,"1,500,000",0,"1,500,000"
Abby 79,2011,"750,000","750,000","1,500,000"
The Burning Hills,1956,"1,500,000",0,"1,500,000"
Salvador,1986,"1,500,000",0,"1,500,000"
Destry,1954,"1,500,000",0,"1,500,000"
Pillars of the Sky,1956,"1,500,000",0,"1,500,000"
Out of Order,2013/I,"1,500,000",0,"1,500,000"
Men of the Fighting Lady,1954,"1,500,000",0,"1,500,000"
The Only Game in Town,1970,"1,500,000",0,"1,500,000"
Sitting Bull,1954,"1,500,000",0,"1,500,000"
At Long Last Love,1975,"1,500,000",0,"1,500,000"
The Immoral Mr. Teas,1959,"1,500,000",0,"1,500,000"
El Jefe,2010,"3,000","1,497,000","1,500,000"
M. Butterfly,1993,"1,499,795",0,"1,499,795"
Priceless,2016/II,"1,499,605",0,"1,499,605"
Hors de prix,2006,"1,499,127",0,"1,499,127"
Anna Christie,1930/I,"1,013,000","486,000","1,499,000"
A Dangerous Woman,1993,"1,497,222",0,"1,497,222"
City of Industry,1997,"1,495,332",0,"1,495,332"
A Cry in the Wild,1990,"1,494,969",0,"1,494,969"
Garbo Talks,1984,"1,493,782",0,"1,493,782"
La herencia Valdemar,2010,0,"1,493,227","1,493,227"
Days of Darkness,2007,"1,491,525",0,"1,491,525"
Bollywood/Hollywood,2002,"1,491,083",0,"1,491,083"
Nam-gwa yeo,2016,0,"1,487,498","1,487,498"
Priceless,2016,"1,486,243",0,"1,486,243"
Pippi Långstrump på de sju haven,1970,0,"1,486,230","1,486,230"
Evelyn,2002,"1,483,975",0,"1,483,975"
Nos miran,2002,0,"1,482,549","1,482,549"
Toni Erdmann,2016,"1,478,960",0,"1,478,960"
Le château de ma mère,1990,"1,477,071",0,"1,477,071"
The Diary of a Teenage Girl,2015,"1,477,002",0,"1,477,002"
Clockwise,1986,"1,476,356",0,"1,476,356"
The Joneses,2009,"1,474,508",0,"1,474,508"
Endangered Species,1982,"1,474,249",0,"1,474,249"
Kuutamolla,2002,0,"1,472,835","1,472,835"
"Oslo, 31. august",2011,"100,713","1,369,966","1,470,679"
Zui quan,1978,0,"1,470,389","1,470,389"
Zebrahead,1992,"1,468,300",0,"1,468,300"
Finders Keepers,1984,"1,467,396",0,"1,467,396"
Trois couleurs: Blanc,1994,"1,464,625",0,"1,464,625"
Pinocchio 3000,2004,0,"1,464,478","1,464,478"
Mister Johnson,1990,"1,464,242",0,"1,464,242"
Birdy,1984,"1,455,045",0,"1,455,045"
Paradise Now,2005,"1,452,402",0,"1,452,402"
Pascali's Island,1988,"1,451,857",0,"1,451,857"
Sous le sable,2000,"1,450,106",0,"1,450,106"
Ernest Rides Again,1993,"1,450,029",0,"1,450,029"
Kozí príbeh,2008,0,"1,450,000","1,450,000"
Phantom of the Rue Morgue,1954,"1,450,000",0,"1,450,000"
Shadow of the Wolf,1992,"1,448,640",0,"1,448,640"
Kambakkht Ishq,2009,"1,445,739",0,"1,445,739"
Nowhere Boy,2009,"1,445,366",0,"1,445,366"
Belizaire the Cajun,1986,"1,444,618",0,"1,444,618"
Genesis: Paradise Lost,2017,"1,443,926",0,"1,443,926"
Titane,2021,"1,442,988",0,"1,442,988"
2046,2004,"1,442,337",0,"1,442,337"
Greenfingers,2000,"1,439,287",0,"1,439,287"
Movie Crazy,1932,"1,439,000",0,"1,439,000"
Badding,2000,0,"1,438,848","1,438,848"
Raajneeti,2010,"1,436,397",0,"1,436,397"
Restrepo,2010,"1,330,894","105,497","1,436,391"
Together Together,2021,"1,436,324",0,"1,436,324"
Love at Large,1990,"1,436,308",0,"1,436,308"
Down by Law,1986,"1,436,000",0,"1,436,000"
A Vida Invisível,2019,"146,535","1,289,200","1,435,735"
The Kid Stays in the Picture,2002,"1,434,436",0,"1,434,436"
Blonde Ambition,2007,"6,422","1,426,627","1,433,049"
A Prayer for the Dying,1987,"1,432,687",0,"1,432,687"
Rusalka,2007,0,"1,431,983","1,431,983"
No End in Sight,2007,"1,431,623",0,"1,431,623"
You're the one (una historia de entonces),2000,0,"1,430,021","1,430,021"
Queen,2013,"1,429,534",0,"1,429,534"
The Art of Getting By,2011,"1,429,260",0,"1,429,260"
Infinitely Polar Bear,2014,"1,428,647",0,"1,428,647"
I Hope They Serve Beer in Hell,2009,"1,425,993",0,"1,425,993"
Pájaros de verano,2018,"507,259","916,829","1,424,088"
Born to Ski,1991,"1,423,688",0,"1,423,688"
The Wild Geese,1978,"1,423,104",0,"1,423,104"
Mon meilleur ami,2006/I,"1,422,461",0,"1,422,461"
Supersonic,2016,"242,867","1,179,506","1,422,373"
Northfork,2003,"1,420,578",0,"1,420,578"
American Flyers,1985,"1,420,355",0,"1,420,355"
Until They Sail,1957,"745,000","675,000","1,420,000"
Piñero,2001,"1,418,314",0,"1,418,314"
The Servant,1963,"1,417,550",0,"1,417,550"
Monsieur Hire,1989,"1,417,030",0,"1,417,030"
Fuga dal Bronx,1983,"1,414,828",0,"1,414,828"
Turkey Shoot,1982,"1,414,828",0,"1,414,828"
The Field,1990,"1,414,017",0,"1,414,017"
That Lady in Ermine,1948,"1,414,000",0,"1,414,000"
Laavor et hakir,2016,"1,412,404",0,"1,412,404"
Marley,2012,"1,412,124",0,"1,412,124"
Salaam Namaste,2005,"1,411,065",0,"1,411,065"
99 Homes,2014,"1,410,915",0,"1,410,915"
The Notorious Bettie Page,2005,"1,410,778",0,"1,410,778"
Fei zhou he shang,1991,0,"1,409,834","1,409,834"
Paheli,2005,"1,409,498",0,"1,409,498"
Summer Camp,2015,0,"1,409,000","1,409,000"
I've Heard the Mermaids Singing,1987,"1,408,491",0,"1,408,491"
Amantes,1991,"1,407,309",0,"1,407,309"
Good Joe Bell,2020,"1,405,488",0,"1,405,488"
Where Angels Fear to Tread,1991,"1,403,033",0,"1,403,033"
Sahara,1983,"1,402,962",0,"1,402,962"
Universal Soldier: Day of Reckoning,2012,"5,460","1,396,847","1,402,307"
High Life,2018,"1,225,852","175,907","1,401,759"
Riding Shotgun,1954,"1,400,000",0,"1,400,000"
Arch of Triumph,1948,"1,400,000",0,"1,400,000"
Ponette,1996,"1,400,000",0,"1,400,000"
Gazon maudit,1995,"1,400,000",0,"1,400,000"
War Arrow,1953,"1,400,000",0,"1,400,000"
Coquette,1929,"1,400,000",0,"1,400,000"
The Boy from Oklahoma,1954,"1,400,000",0,"1,400,000"
The Spoilers,1955,"1,400,000",0,"1,400,000"
Six and Five,2011,0,"1,400,000","1,400,000"
Beachhead,1954,"1,400,000",0,"1,400,000"
Tall Man Riding,1955,"1,400,000",0,"1,400,000"
Suddenly,1954,"1,400,000",0,"1,400,000"
Secret of the Incas,1954,"1,400,000",0,"1,400,000"
It Should Happen to You,1954,"1,400,000",0,"1,400,000"
Ha-Ushpizin,2004,"1,397,999",0,"1,397,999"
Dear Zindagi,2016,"1,397,133",0,"1,397,133"
Courage Mountain,1990,"1,393,610",0,"1,393,610"
Give My Regards to Broad Street,1984,"1,393,501",0,"1,393,501"
The Patriot,1998,0,"1,393,473","1,393,473"
Penitentiary III,1987,"1,392,616",0,"1,392,616"
Salvando al Soldado Pérez,2011,"1,391,770",0,"1,391,770"
X Games 3D: The Movie,2009,"1,391,434",0,"1,391,434"
Welcome Back,2015,"1,388,365",0,"1,388,365"
